iter	Passed	Remaining
0	91	91314
1	159	79506
2	203	67475
3	268	66736
4	325	64682
5	390	64685
6	435	61790
7	494	61298
8	558	61490
9	616	61016
10	680	61140
11	740	60960
12	797	60520
13	841	59260
14	893	58668
15	940	57852
16	987	57113
17	1039	56698
18	1101	56857
19	1147	56219
20	1178	54925
21	1239	55088
22	1298	55172
23	1347	54784
24	1401	54650
25	1457	54593
26	1496	53932
27	1544	53600
28	1598	53511
29	1659	53657
30	1711	53491
31	1770	53567
32	1802	52814
33	1858	52804
34	1909	52655
35	1954	52345
36	1994	51918
37	2053	51985
38	2069	50994
39	2125	51006
40	2201	51497
41	2258	51505
42	2305	51310
43	2346	50990
44	2394	50815
45	2446	50730
46	2471	50103
47	2512	49822
48	2561	49713
49	2609	49584
50	2655	49419
51	2702	49269
52	2718	48573
53	2765	48452
54	2816	48393
55	2860	48218
56	2911	48161
57	2950	47925
58	2991	47706
59	3047	47745
60	3071	47277
61	3115	47136
62	3178	47278
63	3236	47328
64	3300	47481
65	3361	47564
66	3408	47459
67	3471	47585
68	3539	47755
69	3566	47382
70	3615	47301
71	3669	47297
72	3726	47317
73	3778	47280
74	3832	47271
75	3874	47102
76	3912	46900
77	3949	46689
78	3989	46515
79	4021	46244
80	4071	46191
81	4109	46010
82	4148	45835
83	4198	45783
84	4237	45612
85	4275	45442
86	4314	45274
87	4356	45148
88	4412	45165
89	4452	45024
90	4490	44857
91	4544	44852
92	4580	44673
93	4619	44525
94	4670	44489
95	4708	44338
96	4761	44327
97	4808	44259
98	4833	43986
99	4893	44040
100	4935	43930
101	4974	43796
102	5005	43593
103	5052	43529
104	5095	43430
105	5132	43288
106	5182	43250
107	5232	43216
108	5276	43131
109	5317	43020
110	5354	42888
111	5399	42813
112	5441	42711
113	5493	42691
114	5533	42587
115	5571	42457
116	5620	42418
117	5659	42303
118	5712	42291
119	5768	42304
120	5817	42262
121	5869	42244
122	5907	42118
123	5953	42062
124	5993	41951
125	6036	41869
126	6093	41883
127	6148	41885
128	6191	41801
129	6230	41696
130	6289	41725
131	6347	41736
132	6406	41765
133	6466	41793
134	6524	41806
135	6562	41690
136	6601	41584
137	6659	41596
138	6698	41492
139	6767	41573
140	6820	41553
141	6885	41601
142	6944	41619
143	7005	41643
144	7049	41567
145	7106	41569
146	7160	41549
147	7229	41619
148	7293	41653
149	7334	41559
150	7394	41573
151	7447	41549
152	7519	41626
153	7585	41673
154	7632	41609
155	7684	41576
156	7732	41519
157	7786	41497
158	7840	41468
159	7896	41455
160	7942	41389
161	8004	41407
162	8062	41402
163	8123	41409
164	8180	41398
165	8233	41364
166	8286	41335
167	8337	41292
168	8388	41247
169	8448	41250
170	8499	41207
171	8538	41102
172	8576	40998
173	8638	41008
174	8688	40962
175	8755	40993
176	8806	40946
177	8858	40909
178	8916	40897
179	8969	40862
180	9012	40780
181	9076	40796
182	9131	40765
183	9178	40703
184	9230	40664
185	9276	40598
186	9325	40542
187	9371	40475
188	9417	40412
189	9473	40385
190	9518	40317
191	9559	40231
192	9626	40250
193	9687	40248
194	9738	40202
195	9790	40162
196	9834	40085
197	9894	40077
198	9939	40006
199	9975	39902
200	10030	39870
201	10085	39844
202	10149	39849
203	10199	39797
204	10236	39697
205	10284	39641
206	10351	39654
207	10406	39624
208	10461	39592
209	10512	39547
210	10575	39544
211	10630	39513
212	10692	39506
213	10744	39463
214	10799	39430
215	10845	39365
216	10894	39312
217	10946	39265
218	10983	39170
219	11038	39135
220	11092	39100
221	11139	39038
222	11198	39018
223	11250	38974
224	11305	38942
225	11347	38864
226	11402	38829
227	11458	38798
228	11507	38745
229	11550	38668
230	11611	38654
231	11671	38637
232	11729	38610
233	11786	38584
234	11843	38555
235	11895	38509
236	11952	38481
237	12000	38421
238	12050	38370
239	12110	38349
240	12149	38264
241	12195	38198
242	12241	38135
243	12279	38044
244	12332	38004
245	12392	37982
246	12433	37904
247	12486	37861
248	12532	37798
249	12576	37730
250	12638	37714
251	12687	37658
252	12732	37594
253	12792	37570
254	12846	37533
255	12912	37525
256	12952	37445
257	13018	37442
258	13078	37416
259	13127	37364
260	13182	37323
261	13225	37254
262	13293	37252
263	13348	37214
264	13398	37162
265	13455	37128
266	13509	37087
267	13562	37044
268	13610	36985
269	13654	36916
270	13696	36844
271	13741	36778
272	13781	36701
273	13851	36701
274	13918	36694
275	13965	36633
276	14019	36592
277	14082	36573
278	14139	36539
279	14193	36496
280	14241	36441
281	14289	36381
282	14327	36300
283	14373	36236
284	14429	36200
285	14491	36176
286	14533	36105
287	14578	36041
288	14619	35966
289	14663	35899
290	14704	35826
291	14744	35749
292	14787	35682
293	14829	35610
294	14870	35538
295	14933	35518
296	14979	35457
297	15034	35417
298	15103	35408
299	15146	35341
300	15200	35298
301	15247	35240
302	15319	35240
303	15402	35263
304	15475	35263
305	15556	35281
306	15626	35273
307	15690	35253
308	15746	35212
309	15827	35228
310	15902	35230
311	15971	35219
312	16023	35170
313	16088	35148
314	16143	35105
315	16222	35115
316	16302	35125
317	16360	35086
318	16419	35051
319	16484	35030
320	16539	34984
321	16606	34965
322	16665	34931
323	16717	34880
324	16757	34804
325	16814	34762
326	16881	34744
327	16943	34712
328	16995	34662
329	17055	34628
330	17113	34587
331	17171	34549
332	17235	34523
333	17290	34477
334	17342	34427
335	17404	34393
336	17453	34338
337	17506	34287
338	17552	34225
339	17611	34186
340	17656	34121
341	17708	34071
342	17758	34015
343	17811	33967
344	17871	33929
345	17939	33908
346	18001	33875
347	18061	33839
348	18122	33804
349	18181	33765
350	18245	33736
351	18301	33692
352	18352	33638
353	18411	33598
354	18480	33577
355	18530	33522
356	18585	33474
357	18639	33425
358	18691	33374
359	18741	33318
360	18783	33247
361	18829	33186
362	18892	33152
363	18956	33122
364	19024	33097
365	19090	33069
366	19148	33027
367	19218	33006
368	19276	32962
369	19333	32919
370	19394	32882
371	19441	32820
372	19479	32744
373	19528	32686
374	19567	32613
375	19636	32588
376	19710	32571
377	19771	32534
378	19836	32502
379	19894	32459
380	19943	32401
381	19995	32348
382	20045	32292
383	20107	32256
384	20158	32201
385	20215	32157
386	20282	32127
387	20335	32075
388	20386	32021
389	20444	31977
390	20492	31917
391	20550	31873
392	20618	31846
393	20669	31791
394	20725	31743
395	20781	31697
